Table A.7, α = 0.,,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,
,,,,Mathematical model,,ILS,,GRASP,,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,
50,50,0.8,0.2,110.219.53,0,98.382.98,1.07,104.773.53,1.27,10.74%,4.94%,109906,0.000189335,107936,0.000154541,93694,0.0327211,109906,0.000122,107936,0.000171437,93417,0.0260226,109906,0.000181193,107936,0.00014666,93459.1,0.0308883,
30,150,0.2,0.2,398.612.49,0,365.961.56,4.46,376.311.46,5.69,8.19%,5.59%,400068,0.000518369,372777,0.000459327,328397,0.195038,400068,0.000483944,372777,0.000437539,331541,0.236665,400068,0.000465977,372777,0.000519222,332616,0.261641,
30,150,0.8,0.2,393.197.14,0,369.432.14,4.51,386.731.26,5.78,6.04%,1.64%,393197,0.000500679,395314,0.000447479,335976,0.295428,393197,0.000487284,395314,0.000452824,335016,0.225964,393197,0.000741807,395314,0.000492063,335181,0.329242,
50,150,0.2,0.2,464.286.26,0,431.162.78,5.35,454.856.19,6.82,7.13%,2.03%,463809,0.000746488,445537,0.000712778,402624,0.537513,463809,0.000724255,445537,0.000841204,402444,1.06363,463809,0.00100928,445537,0.000844955,401485,0.669174,
50,150,0.8,0.2,482.923.10,0,443.569.10,5.24,466.299.03,6.74,8.15%,3.44%,486609,0.000729128,485463,0.000727333,415375,0.575608,486609,0.000766507,485463,0.000705992,411692,0.690579,486609,0.000865902,485463,0.000720692,408148,0.771,
30,250,0.2,0.2,885.495.13,0,805.680.13,10.92,846.942.21,16.41,9.01%,4.35%,886389,0.000922839,826675,0.0011265,736109,0.931582,886389,0.000949436,826675,0.000955916,733422,1.18008,886389,0.0011056,826675,0.000942896,735485,1.49878,
30,250,0.8,0.2,853.797.71,0,804.328.17,11.42,833.894.67,16.51,5.79%,2.33%,853812,0.000981775,853185,0.000925964,741991,2.10021,853812,0.00101485,853185,0.000935359,746691,1.98095,853812,0.00117416,853185,0.00239814,739940,1.80542,
50,250,0.2,0.2,992.371.51,0,938.183.51,12.7,970.596.50,18.36,5.46%,2.19%,993240,0.00149478,988287,0.00167592,874847,2.59622,993240,0.0014731,988287,0.00148268,876931,1.6566,993240,0.00145314,988287,0.00148621,869596,2.93557,
50,250,0.8,0.2,1.038.859.81,0,957.752.81,12.43,991.909.63,18.41,7.81%,4.52%,1038850,0.00187116,993614,0.00554546,877597,7.34552,1038850,0.00175273,993614,0.00179529,880876,4.74563,1038850,0.00179717,993614,0.00189171,880964,4.3346,
30,350,0.2,0.2,1.471.328.44,0,1.410.304.44,21.11,1.458.897.44,31.01,4.15%,0.84%,1471300,0.00165894,1464200,0.00161112,1305570,2.13706,1471300,0.00181043,1464200,0.00145336,1294910,3.70934,1471300,0.00207292,1464200,0.00185764,1289090,4.82033,
30,350,0.8,0.2,1.481.897.72,0,1.431.865.72,21.51,1.474.944.72,32.95,3.38%,0.47%,1484300,0.00147097,1487800,0.00184585,1316030,3.57247,1484300,0.00146038,1487800,0.00138722,1316080,3.6599,1484300,0.0037813,1487800,0.0016564,1305680,5.05852,
50,350,0.2,0.2,1.702.666.20,0,1.606.493.84,23.38,1.657.355.20,34.4,5.65%,2.66%,1705160,0.00284468,1638150,0.00412496,1478070,9.78287,1705160,0.00363048,1638150,0.00246048,1474510,11.5555,1705160,0.00224781,1638150,0.00223089,1468190,7.8919,
50,350,0.8,0.2,1.696.772.02,0,1.607.163.02,22.67,1.665.731.02,32.57,5.28%,1.83%,1696770,0.00406548,1662770,0.00226297,1491880,9.51421,1696770,0.00220299,1662770,0.00228491,1481700,10.2495,1696770,0.00322882,1662770,0.00364416,1478640,12.1027,
